23:26:51 root                           INFO     Logger initiated
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Letter Gothic Std' (LetterGothicStd-BoldSlanted.otf) italic normal bold normal>) = 11.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'TINspireKeysTouch' (TINspireKeysTouch.ttf) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Futura' (Futura.ttc) normal normal medium normal>) = 10.145
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W5.ttc) normal normal 700 normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Noto Sans Tai Tham' (NotoSansTaiTham-Regular.ttf) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Hiragino Sans' (ヒラギノ角ゴシック W7.ttc) normal normal 700 normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Avenir Next' (Avenir Next.ttc) normal normal bold normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Noto Sans Old Italic' (NotoSansOldItalic-Regular.ttf) italic normal regular normal>) = 11.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Apple Braille' (Apple Braille Outline 8 Dot.ttf) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Arial' (Arial Bold.ttf) normal normal bold normal>) = 6.698636363636363
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Kozuka Mincho Pro' (KozMinPro-Light.otf) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'STIXIntegralsUpD' (STIXIntUpDBol.otf) normal normal bold normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Snell Roundhand' (SnellRoundhand.ttc) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'STIXIntegralsD' (STIXIntDBol.otf) normal normal bold normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Myriad Pro' (MyriadPro-Regular.otf) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Gurmukhi Sangam MN' (Gurmukhi Sangam MN.ttc) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Letter Gothic Std' (LetterGothicStd.otf) normal normal medium normal>) = 10.145
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Noto Sans New Tai Lue' (NotoSansNewTaiLue-Regular.ttf) normal normal regular normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Georgia' (Georgia Bold Italic.ttf) italic normal bold normal>) = 11.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Nueva Std' (NuevaStd-Bold.otf) normal normal bold normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Noto Sans Inscriptional Pahlavi' (NotoSansInscriptionalPahlavi-Regular.ttf) normal normal regular normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Hoefler Text' (Hoefler Text Ornaments.ttf) normal normal 400 normal>) = 10.05
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Georgia' (Georgia Bold.ttf) normal normal bold normal>) = 10.335
23:26:54 matplotlib.font_manager        DEBUG    findfont: score(<Font 'Plantagenet Cherokee' (PlantagenetCherokee.ttf) normal normal 400 normal>) = 10.05
